addition_id,item_id,quantity_added,date_added,added_by
81,59,1,2026-02-23 12:41:55.162217,1
82,82,2,2026-02-23 19:41:32.970024,1
83,86,1,2026-02-24 10:00:01.921012,1
84,72,22,2026-02-24 10:07:09.920273,1
85,96,2,2026-02-24 12:01:31.122247,1
86,68,3,2026-02-24 12:04:42.668743,1
87,55,1,2026-02-24 19:27:51.349631,1
89,89,1,2026-02-24 19:31:14.228789,1
90,87,6,2026-02-24 19:35:19.358978,1
91,66,3,2026-02-25 11:08:32.668567,1
92,67,2,2026-02-25 16:08:56.125053,1
93,80,3,2026-02-26 18:20:17.518568,1
94,88,3,2026-03-03 09:23:04.061224,1
95,87,3,2026-03-03 09:24:18.587081,1
96,95,3,2026-03-03 09:25:05.61386,1
97,51,2,2026-03-03 09:25:50.490786,1
98,56,38,2026-03-06 17:26:25.61824,1
99,95,4,2026-03-06 17:35:56.107349,1
100,93,1,2026-03-09 13:54:01.239135,1
101,51,2,2026-03-09 13:56:33.859788,1
102,90,3,2026-03-09 17:43:25.733702,1
103,59,4,2026-03-11 11:02:54.248239,1
104,80,26,2026-03-11 11:09:43.272729,1
105,81,10,2026-03-11 11:10:07.558489,1
106,83,3,2026-03-11 11:10:33.029668,1
107,77,1,2026-03-11 11:10:46.141252,1
108,76,49,2026-03-11 11:11:09.445215,1
109,96,84,2026-03-11 11:11:24.610757,1
30,78,35,2026-02-09 14:29:18.172284,1
33,69,30,2026-02-11 15:22:19.696583,1
34,68,36,2026-02-11 15:24:43.20405,1
110,82,15,2026-03-11 11:13:13.319048,1
111,56,1,2026-03-11 11:13:48.080238,1
112,55,2,2026-03-11 11:14:27.464357,1
113,94,14,2026-03-11 11:14:48.7944,1
114,89,15,2026-03-11 11:15:06.990515,1
40,59,1,2026-02-12 08:12:59.901113,1
41,76,15,2026-02-12 08:13:23.572457,1
115,87,8,2026-03-15 05:18:14.638306,1
116,88,1,2026-03-15 05:18:27.873326,1
44,56,8,2026-02-12 08:14:15.792815,1
117,80,17,2026-03-21 08:09:49.002132,1
118,81,4,2026-03-21 08:10:06.905592,1
119,83,4,2026-03-21 08:10:36.183064,1
120,82,35,2026-03-21 08:11:55.188764,1
121,85,6,2026-03-21 08:12:15.40262,1
122,50,91,2026-03-21 08:13:21.221481,1
123,89,12,2026-03-21 08:13:42.634644,1
124,55,2,2026-03-21 08:14:24.505759,1
125,94,82,2026-03-21 08:15:31.101555,1
126,88,25,2026-03-21 08:16:03.970049,1
127,86,1,2026-03-21 08:16:36.55457,1
128,86,16,2026-03-27 08:59:37.151725,1
58,51,4,2026-02-18 10:47:45.597855,1
129,76,4,2026-03-27 09:03:08.750498,1
130,51,9,2026-03-27 09:04:32.992203,1
131,98,8,2026-03-27 09:41:17.371321,1
62,59,28,2026-02-21 05:18:28.6797,1
132,79,20,2026-03-27 09:51:32.929063,1
133,80,24,2026-03-30 03:57:55.999863,1
65,72,17,2026-02-21 05:22:15.196121,1
134,96,7,2026-04-02 13:50:13.392307,1
67,55,9,2026-02-21 05:23:41.231088,1
135,82,3,2026-04-02 14:13:01.552784,1
136,96,11,2026-04-09 08:00:55.805178,1
137,81,11,2026-04-11 07:44:29.340768,1
138,82,1,2026-04-11 07:45:36.890536,1
139,88,5,2026-04-11 15:56:52.376369,1
140,87,14,2026-04-12 11:37:13.534979,1
75,78,150,2026-02-22 11:21:52.633463,1
141,55,1,2026-04-15 16:33:18.312657,1
79,78,1,2026-02-23 12:01:33.337009,1
80,50,2,2026-02-23 12:16:22.429708,1
142,81,6,2026-04-26 15:13:41.92217,1
143,90,34,2026-04-26 15:14:54.403639,1
144,60,8,2026-04-26 15:15:38.853687,1
145,91,4,2026-04-26 15:16:20.50905,1
146,96,31,2026-04-26 15:18:11.503196,1
147,51,9,2026-04-26 15:24:29.23071,1
148,56,16,2026-04-26 15:25:50.54744,1
149,89,2,2026-04-26 15:26:43.023099,1
150,94,1,2026-04-26 15:27:18.004938,1
151,85,7,2026-04-26 15:30:11.244732,1
152,86,4,2026-04-26 15:30:51.576381,1
153,87,33,2026-04-26 15:34:36.203326,1
154,95,20,2026-04-26 16:14:06.09799,1
155,95,2,2026-04-26 16:22:04.974805,1
156,95,2,2026-04-26 16:26:49.617084,1
157,95,6,2026-04-27 12:57:52.836622,1
158,89,1,2026-04-27 12:59:22.742823,1
159,80,30,2026-05-10 06:36:02.979648,1
160,81,3,2026-05-10 06:37:32.565406,1
161,83,2,2026-05-10 06:38:23.004966,1
162,59,25,2026-05-10 06:39:02.76681,1
163,95,1,2026-05-10 06:40:48.345259,1
164,76,30,2026-05-10 06:41:31.177818,1
165,82,2,2026-05-10 06:42:30.067825,1
166,84,47,2026-05-10 06:43:21.224532,1
167,87,14,2026-05-10 06:45:24.140088,1
168,78,85,2026-05-10 06:46:45.048176,1
169,89,1,2026-05-10 06:47:25.414298,1
170,94,1,2026-05-10 06:48:27.89798,1
171,90,178,2026-05-10 06:51:21.252769,1
172,87,12,2026-05-10 07:10:15.044256,1
173,88,2,2026-05-18 09:47:14.606473,1
